sku,upc,Catalogue,title,label,VMS Cost,VSP,04-05-2019,TOTAL,AVG. WEEK,total VMS Cost,total V.S.P.
734884,6950000000000.0,PPALL-EX01     ,BASEUS DUAL OUTPUT WIRELESS CHARGE POWER BANK 8000MAH BLACK                                                   ,BASEUS                        ,69.5,149,5,5,5.0,347.5,745
734885,6950000000000.0,PPALL-EX09     ,BASEUS DUAL OUTPUT WIRELESS CHARGE POWER BANK 8000MAH RED                                                     ,BASEUS                        ,79.5,169,11,11,11.0,874.5,1859
734886,6950000000000.0,PPALL-PX01     ,BASEUS PARALLEL LINE POWER BANK 10000MAH BLACK                                                                ,BASEUS                        ,59.5,129,8,8,8.0,476.0,1032
734887,6950000000000.0,PPALL-PX02     ,BASEUS PARALLEL LINE POWER BANK 10000MAH WHITE                                                                ,BASEUS                        ,49.5,99,5,5,5.0,247.5,495
734888,6950000000000.0,PPALL-PX03     ,BASEUS PARALLEL LINE POWER BANK 10000MAH BLUE                                                                 ,BASEUS                        ,59.5,129,8,8,8.0,476.0,1032
734889,6950000000000.0,PPKC-A01       ,BASEUS POWERFUL TYPE-C PD+QC3.0 20000MAH POWER BANK BLACK                                                     ,BASEUS                        ,119.5,249,9,9,9.0,1075.5,2241
734890,6950000000000.0,PPKC-A02       ,BASEUS POWERFUL TYPE-C PD+QC3.0 20000MAH POWER BANK WHITE                                                     ,BASEUS                        ,119.5,249,6,6,6.0,717.0,1494
734891,6950000000000.0,PPKC-A09       ,BASEUS POWERFUL TYPE-C PD+QC3.0 20000MAH POWER BANK RED                                                       ,BASEUS                        ,119.5,249,8,8,8.0,956.0,1992
734892,6950000000000.0,PPALL-QY01     ,BASEUS THIN WIRELESS CHARGE 10000MAH POWER BANK BLACK                                                         ,BASEUS                        ,109.5,229,4,4,4.0,438.0,916
734893,6950000000000.0,PPALL-QY02     ,BASEUS THIN WIRELESS CHARGE 10000 MAH POWER BANK WHITE                                                        ,BASEUS                        ,109.5,229,1,1,1.0,109.5,229
734894,6950000000000.0,PPALL-QY04     ,BASEUS THIN WIRELESS CHARGE 10000MAH POWER BANK PINK                                                          ,BASEUS                        ,109.5,229,2,2,2.0,219.0,458
734895,6950000000000.0,CCALL-RH01     ,BASEUS LOCOMOTIVE BLUETOOTH MP3 VEHICLE CHARGER BLACK                                                         ,BASEUS                        ,44.5,99,6,6,6.0,267.0,594
734896,6950000000000.0,CCALL-TM01     ,BASEUS T TYPED BLUETOOTH MP3 CHARGER WITH CAR HOLDER BLACK                                                    ,BASEUS                        ,39.5,79,5,5,5.0,197.5,395
734897,6950000000000.0,CCALL-TM0A     ,BASEUS T TYPED BLUETOOTH MP3 CHARGER WITH CAR HOLDER TARNISH                                                  ,BASEUS                        ,49.5,109,0,0,0.0,0.0,0
734898,6950000000000.0,CCALL-TM12     ,BASEUS T TYPED BLUETOOTH MP3 CHARGER WITH CAR HOLDER DARK COFFEE                                              ,BASEUS                        ,39.5,79,2,2,2.0,79.0,158
734899,6950000000000.0,ACCHZ-01       ,BASEUS ROTATION TYPE UNIVERSAL CHARGER BLACK                                                                  ,BASEUS                        ,49.5,109,22,22,22.0,1089.0,2398
734900,6950000000000.0,ACDKQ-HG01     ,BASEUS PENDANT CARD READER BLACK                                                                              ,BASEUS                        ,39.5,79,0,0,0.0,0.0,0
734901,6950000000000.0,ACDKQ-HG0S     ,BASEUS PENDANT CARD READER SILVER                                                                             ,BASEUS                        ,39.5,79,0,0,0.0,0.0,0
734902,6950000000000.0,ACAPIPH-EA9    ,BASEUS RED-HAT TYPE-C 32GB USB FLASH DISK                                                                     ,BASEUS                        ,74.5,159,10,10,10.0,745.0,1590
734903,6950000000000.0,CAHUB-B0G      ,BASEUS THUNDERBOLT C+ DUAL TYPE-C TO USB3.0/HDMI/TYPE-C FEMALE HUB CONVERTER DEEP SPACE GRAY                  ,BASEUS                        ,124.5,259,5,5,5.0,622.5,1295
734904,6950000000000.0,CAHUB-D0G      ,BASEUS CUBE TYPE-C TO USB3.0X3+USB2.0X2 HUB ADAPTER DARK GRAY                                                 ,BASEUS                        ,59.5,129,11,11,11.0,654.5,1419
734905,6950000000000.0,CAHUB-E0G      ,BASEUS LITTLE BOX TYPE-C TO HDMI+TYPE-C PD MINI HD SMART HUB CONVERTER DARK GRAY                              ,BASEUS                        ,114.5,239,5,5,5.0,572.5,1195
734906,6950000000000.0,SGAPIPHX-TZ01  ,BASEUS GLASS FILM SET BLACK FOR IPHONE X                                                                      ,BASEUS                        ,49.5,109,9,9,9.0,445.5,981
734907,6950000000000.0,SUGENT-ATR01   ,BASEUS CURVE MAGNET CAR MOUNT                                                                                 ,BASEUS                        ,24.5,49,0,0,0.0,0.0,0
734909,6950000000000.0,SUER-A01       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET BLACK                                                     ,BASEUS                        ,24.5,49,11,11,11.0,269.5,539
734910,6950000000000.0,SUER-A0R       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET ROSE GOLD                                                 ,BASEUS                        ,24.5,49,3,3,3.0,73.5,147
734911,6950000000000.0,SUER-A0S       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET ROSE SILVER                                               ,BASEUS                        ,24.5,49,16,16,16.0,392.0,784
734912,6950000000000.0,SUER-A09       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET ROSE RED                                                  ,BASEUS                        ,24.5,49,8,8,8.0,196.0,392
734913,6950000000000.0,SUER-A0V       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET ROSE GOLD                                                 ,BASEUS                        ,19.5,39,6,6,6.0,117.0,234
734914,6950000000000.0,SUCH-01        ,BASEUS XIAOCHUN MAGNETIC CAR PHONE HOLDER BLACK                                                               ,BASEUS                        ,19.5,39,2,2,2.0,39.0,78
734915,6950000000000.0,SUCH-02        ,BASEUS XIAOCHUN MAGNETIC CAR PHONE HOLDER SILVER                                                              ,BASEUS                        ,24.5,49,0,0,0.0,0.0,0
734916,6950000000000.0,SUHS-DP01      ,BASEUS DOUBLE CLIP HORIZONTAL VEHICLE MOUNT BLACK                                                             ,BASEUS                        ,24.5,49,2,2,2.0,49.0,98
734917,6950000000000.0,SUHS-DP0S      ,BASEUS DOUBLE CLIP HORIZONTAL VEHICLE MOUNT SILVER                                                            ,BASEUS                        ,24.5,49,9,9,9.0,220.5,441
734918,6950000000000.0,SUJX-01        ,BASEUS GOLD AROMATIZING AIR VENT CAR MOUNT                                                                    ,BASEUS                        ,34.5,69,5,5,5.0,172.5,345
734920,6950000000000.0,SUYZD-01       ,BASEUS BULLET ON-BOARD CAR MAGNETIC BRACKET BLACK                                                             ,BASEUS                        ,34.5,69,9,9,9.0,310.5,621
734921,6950000000000.0,SUYZD-09       ,BASEUS BULLET ON-BOARD CAR MAGNETIC BRACKET RED                                                               ,BASEUS                        ,34.5,69,10,10,10.0,345.0,690
734922,6950000000000.0,SUYZD-0S       ,BASEUS BULLET ON-BOARD CAR MAGNETIC BRACKET SILVER                                                            ,BASEUS                        ,34.5,69,11,11,11.0,379.5,759
734923,6950000000000.0,SUGX-A01       ,BASEUS MAGNETIC AIR VENT CAR MOUNT HOLDER WITH CABLE CLIP BLACK                                               ,BASEUS                        ,29.5,59,0,0,0.0,0.0,0
734924,6950000000000.0,SUGX-A0V       ,BASEUS MAGNETIC AIR VENT CAR MOUNT HOLDER WITH CABLE CLIP GOLD                                                ,BASEUS                        ,29.5,59,0,0,0.0,0.0,0
734925,6950000000000.0,SUGX-A09       ,BASEUS MAGNETIC AIR VENT CAR MOUNT HOLDER WITH CABLE CLIP RED                                                 ,BASEUS                        ,29.5,59,0,0,0.0,0.0,0
734926,6950000000000.0,SUGX-A0S       ,BASEUS MAGNETIC AIR VENT CAR MOUNT HOLDER WITH CABLE CLIP SILVER                                              ,BASEUS                        ,24.5,49,0,0,0.0,0.0,0
734927,6950000000000.0,SUER-B01       ,BASEUS SMALL EARS VERTICAL MAGNETIC BRACKET BLACK                                                             ,BASEUS                        ,24.5,49,12,12,12.0,294.0,588
734928,6950000000000.0,SUER-B0S       ,BASEUS SMALL EARS VERTICAL MAGNETIC BRACKET ROSE SILVER                                                       ,BASEUS                        ,24.0,49,15,15,15.0,360.0,735
734929,6950000000000.0,SUER-B09       ,BASEUS SMALL EARS VERTICAL MAGNETIC BRACKET ROSE RED                                                          ,BASEUS                        ,24.5,49,9,9,9.0,220.5,441
734930,6950000000000.0,SUER-B0V       ,BASEUS SMALL EARS VERTICAL MAGNETIC BRACKET ROSE GOLD                                                         ,BASEUS                        ,24.5,49,11,11,11.0,269.5,539
734931,6950000000000.0,WIAPIPH58-BE01 ,BASEUS BEAR SILICONE CASE BLACK FOR IPHONE XS                                                                 ,BASEUS                        ,24.5,49,0,0,0.0,0.0,0
734933,6950000000000.0,WIAPIPH58-BE04 ,BASEUS BEAR SILICONE CASE PINK FOR IPHONE XS                                                                  ,BASEUS                        ,24.5,49,0,0,0.0,0.0,0
734934,6950000000000.0,WIAPIPH58-BE08 ,BASEUS BEAR SILICONE CASE BROWN FOR IPHONE XS                                                                 ,BASEUS                        ,24.5,49,0,0,0.0,0.0,0
734935,6950000000000.0,CALLG-01       ,BASEUS GLOWING DATA CABLE USB FOR LIGHTNING BLACK                                                             ,BASEUS                        ,29.5,59,0,0,0.0,0.0,0
734936,6950000000000.0,CALLG-09       ,BASEUS GLOWING DATA CABLE USB FOR LIGHTNING RED                                                               ,BASEUS                        ,29.5,59,0,0,0.0,0.0,0
734937,6950000000000.0,SUGENT-ZN03    ,BASEUS SMART CAR MOUNT PHONE HOLDER BLUE                                                                      ,BASEUS                        ,69.5,149,0,0,0.0,0.0,0
734938,6950000000000.0,SUGENT-ZN0S    ,BASEUS SMART CAR MOUNT PHONE HOLDER SILVER                                                                    ,BASEUS                        ,69.5,149,0,0,0.0,0.0,0
734939,6950000000000.0,CCALL-XK01     ,BASEUS DESKTOP WIRELESS/WIRED CHARGER BLACK                                                                   ,BASEUS                        ,109.5,229,5,5,5.0,547.5,1145
734940,6950000000000.0,WXXP-02        ,BASEUS WIRELESS CHARGER SUCTION CUP WHITE                                                                     ,BASEUS                        ,44.5,99,2,2,2.0,89.0,198
734941,6950000000000.0,WXXP-01        ,BASEUS WIRELESS CHARGER SUCTION CUP BLACK                                                                     ,BASEUS                        ,44.5,89,4,4,4.0,178.0,356
734942,6950000000000.0,TZARGS-09      ,BASEUS CASE FOR AIRPODS RED                                                                                   ,BASEUS                        ,24.5,49,20,20,20.0,490.0,980
734943,6950000000000.0,TZARGS-01      ,BASEUS CASE FOR AIRPODS BLACK                                                                                 ,BASEUS                        ,24.5,49,21,21,21.0,514.5,1029
734944,6950000000000.0,TZARGS-G2      ,BASEUS CASE FOR AIRPODS GRAY                                                                                  ,BASEUS                        ,24.5,49,34,34,34.0,833.0,1666
734945,6950000000000.0,CCALL-YX01     ,BASEUS Y TYPE DUAL USB+ CAR CHARGER BLACK                                                                     ,BASEUS                        ,39.5,79,0,0,0.0,0.0,0
734947,6950000000000.0,CCALL-YX02     ,BASEUS Y TYPE DUAL USB+ CAR CHARGER WHITE                                                                     ,BASEUS                        ,39.5,79,0,0,0.0,0.0,0
734948,6950000000000.0,ACSR-MS01      ,BASEUS MAGIC MONSTER GAMEPAD STYLE POWER BANK 2000MAH                                                         ,BASEUS                        ,49.5,109,6,6,6.0,297.0,654
734966,6950000000000.0,WIAPIPH61-BE01 ,BASEUS BEAR SILICONE CASE BLACK FOR IPHONE XR                                                                 ,BASEUS                        ,24.5,49,0,0,0.0,0.0,0
734968,6950000000000.0,WIAPIPH61-BE04 ,BASEUS BEAR SILICONE CASE PINK FOR IPHONE XR                                                                  ,BASEUS                        ,24.5,49,0,0,0.0,0.0,0
734970,6950000000000.0,WIAPIPH61-BE08 ,BASEUS BEAR SILICONE CASE BROWN FOR IPHONE XR                                                                 ,BASEUS                        ,24.5,49,0,0,0.0,0.0,0
734971,6950000000000.0,WIAPIPH65-BE01 ,BASEUS BEAR SILICONE CASE BLACK FOR IPHONE XS MAX                                                             ,BASEUS                        ,24.5,49,0,0,0.0,0.0,0
734973,6950000000000.0,WIAPIPH65-BE04 ,BASEUS BEAR SILICONE CASE PINK FOR IPHONE XS MAX                                                              ,BASEUS                        ,24.5,49,0,0,0.0,0.0,0
734975,6950000000000.0,WIAPIPH65-BE08 ,BASEUS BEAR SILICONE CASE BROWN FOR IPHONE XS MAX                                                             ,BASEUS                        ,24.5,49,0,0,0.0,0.0,0
734976,6950000000000.0,CALEYE-01      ,BASEUS BIG EYE DIGITAL DISPLAY LIGHTNING CABLE BLACK                                                          ,BASEUS                        ,39.5,79,0,0,0.0,0.0,0
734981,6950000000000.0,CALEYE-02      ,BASEUS BIG EYE DIGITAL DISPLAY LIGHTNING CABLE WHITE                                                          ,BASEUS                        ,39.5,79,0,0,0.0,0.0,0
735669,6950000000000.0,SUER-B0R       ,BASEUS SMALL EARS VERTICAL MAGNETIC BRACKET ROSE GOLD                                                         ,BASEUS                        ,24.5,49,6,6,6.0,147.0,294
735670,6950000000000.0,SGAPIPHX-RA01  ,BASEUS DROP-PROOF CURVED FULL SCREEN TEMPERED GLASS BLACK FOR IPHONE X                                        ,BASEUS                        ,19.5,39,40,40,40.0,780.0,1560
738068,6950000000000.0,WXHSG-02       ,BASEUS SILCIONE HORIZONTAL DESKTOP WIRELESS CHARGER WHITE                                                     ,BASEUS                        ,59.5,129,2,2,2.0,119.0,258
738069,6950000000000.0,WXHSG-01       ,BASEUS SILCIONE HORIZONTAL DESKTOP WIRELESS CHARGER BLACK                                                     ,BASEUS                        ,59.5,129,2,2,2.0,119.0,258
738071,6950000000000.0,SUXUN-BY0G     ,BASEUS FRAGRANCE/CAR MOUNT GREY                                                                               ,BASEUS                        ,24.5,49,1,1,1.0,24.5,49
738072,6950000000000.0,SUXUN-BY09     ,BASEUS FRAGRANCE/CAR MOUNT RED                                                                                ,BASEUS                        ,24.5,49,0,0,0.0,0.0,0
738073,6950000000000.0,SUXUN-BY01     ,BASEUS FRAGRANCE/CAR MOUNT BLACK                                                                              ,BASEUS                        ,19.5,39,5,5,5.0,97.5,195
738074,6950000000000.0,CATSX-F0G      ,BASEUS 10-IN-1 HUB ADAPTER                                                                                    ,BASEUS                        ,344.5,719,3,3,3.0,1033.5,2157
738075,6950000000000.0,CATCY-B0G      ,BASEUS TYPE C TO HDMI JOINT ADAPTER CABLE 1.8M DARK GREY                                                      ,BASEUS                        ,129.5,269,1,1,1.0,129.5,269
738076,6950000000000.0,CATSX-D0G      ,BASEUS HDMI + USB 3.0 HUB ADAPTER                                                                             ,BASEUS                        ,124.5,259,0,0,0.0,0.0,0
738077,6950000000000.0,CATSY-0G       ,BASEUS TYPE-C MALE TO HDMI MALE 4K HD ADAPTER CABLE 1.8M                                                      ,BASEUS                        ,89.5,189,3,3,3.0,268.5,567
738078,6950000000000.0,ACSLCJ-06      ,BASEUS GRENADE BLACK/ARMY GREEN GRIP FOR SMARTPHONES                                                          ,BASEUS                        ,24.5,49,72,72,72.0,1764.0,3528
738079,6950000000000.0,ACSR-XJ09      ,BASEUS ADAPTER X-MEN AUDIO RADIATOR RED/BLACK                                                                 ,BASEUS                        ,49.5,99,4,4,4.0,198.0,396
738080,6950000000000.0,ACSR-XJ0A      ,BASEUS ADAPTER X-MEN AUDIO RADIATOR BLACK                                                                     ,BASEUS                        ,39.5,79,3,3,3.0,118.5,237
738081,6950000000000.0,ACXUN-02       ,BASEUS AROMA DIFFUSER CREAM WHITE                                                                             ,BASEUS                        ,64.5,139,10,10,10.0,645.0,1390
739727,6950000000000.0,WIAPPOD-01     ,BASEUS PROTECTIVE CASE/WIRELESS CHARGER BLACK FOR AIRPODS                                                     ,BASEUS                        ,44.5,99,36,36,36.0,1602.0,3564
739728,6950000000000.0,WIAPPOD-09     ,BASEUS PROTECTIVE CASE/WIRELESS CHARGER RED FOR AIRPODS                                                       ,BASEUS                        ,44.5,99,34,34,34.0,1513.0,3366
742244,6950000000000.0,CAHUB-F01      ,BASEUS ROUND BOX USB 3.0 HUB ADAPTER BLACK                                                                    ,BASEUS                        ,29.5,59,13,13,13.0,383.5,767
742245,6950000000000.0,CAHUB-F02      ,BASEUS ROUND BOX USB 3.0 HUB ADAPTER WHITE                                                                    ,BASEUS                        ,29.5,59,3,3,3.0,88.5,177
742247,6950000000000.0,CAHUB-G01      ,BASEUS ROUND BOX TYPE-C HUB ADAPTER BLACK                                                                     ,BASEUS                        ,29.5,59,14,14,14.0,413.0,826
742248,6950000000000.0,ACSLCJ-01      ,BASEUS GRENADE BLACK GRIP FOR SMARTPHONES                                                                     ,BASEUS                        ,24.5,49,51,51,51.0,1249.5,2499
742249,6950000000000.0,SUCJLF-01      ,BASEUS WINNER COOLING HEAT SINK BLACK FOR SMARTPHONES                                                         ,BASEUS                        ,44.5,99,39,39,39.0,1735.5,3861
742292,6950000000000.0,SGAPIPD-CX02   ,BASEUS 0.3MM TEMPERED GLASS FILM TRANSPARENT FOR IPAD PRO 11-INCH                                             ,BASEUS                        ,39.5,79,35,35,35.0,1382.5,2765
742293,6950000000000.0,SGAPIPD-DX02   ,BASEUS 0.3MM ANTI-BLUE LIGHT TEMPERED GLASS FILM TRANSPARENT FOR IPAD PRO 11-INCH                             ,BASEUS                        ,44.5,89,22,22,22.0,979.0,1958
742294,6950000000000.0,LTAPIPD-ASM03  ,BASEUS SIMPLISM Y-TYPE LEATHER CASE BLUE FOR IPAD PRO 11-INCH                                                 ,BASEUS                        ,74.5,159,27,27,27.0,2011.5,4293
742295,6950000000000.0,SUGENT-XF0S    ,BASEUS SUSPENSION GLASS DESKTOP BRACKET SILVER FOR SMARTPHONES                                                ,BASEUS                        ,39.5,79,28,28,28.0,1106.0,2212
742296,6950000000000.0,SUGENT-XF01    ,BASEUS SUSPENSION GLASS DESKTOP BRACKET BLACK FOR SMARTPHONES                                                 ,BASEUS                        ,39.5,79,18,18,18.0,711.0,1422
742297,6950000000000.0,ACAPIPHX-ABJ01 ,BASEUS 1+1 BLACK WIRELESS CHARGE 5000MAH POWER BANK FOR IPHONE XS/X                                           ,BASEUS                        ,119.5,249,0,0,0.0,0.0,0
742298,6950000000000.0,ACAPIPHX-BJ01  ,BASEUS PLAID BLACK 3500MAH POWER BANK FOR IPHONE X                                                            ,BASEUS                        ,89.5,189,3,3,3.0,268.5,567
742300,6950000000000.0,ACPCL-01       ,BASEUS GOLDEN CUDGEL CAPACITIVE STYLUS BLACK                                                                  ,BASEUS                        ,29.5,59,17,17,17.0,501.5,1003
742301,6960000000000.0,4KCD6901       ,USAMS 4000MAH POWER BANK CASE BLACK FOR IPHONE XS MAX                                                         ,USAMS                         ,94.5,199,2,2,2.0,189.0,398
743939,6950000000000.0,NGH08-01       ,BASEUS H08 BLACK IMMERSIVE VIRTUAL 3D GAMING IN-EAR EARPHONES                                                 ,BASEUS                        ,140.0,289,33,33,33.0,4620.0,9537
743940,6950000000000.0,NGH08-2G       ,BASEUS H08 WHITE/GREY IMMERSIVE VIRTUAL 3D GAMING IN-EAR EARPHONES                                            ,BASEUS                        ,140.0,289,32,32,32.0,4480.0,9248
743943,6950000000000.0,NGS07-01       ,BASEUS ENCOK BLACK SPORTS WIRELESS IN-EAR EARPHONES S07                                                       ,BASEUS                        ,49.5,99,11,11,11.0,544.5,1089
743945,6950000000000.0,NGS07-19       ,BASEUS ENCOK RED/BLACK SPORTS WIRELESS IN-EAR EARPHONES S07                                                   ,BASEUS                        ,49.5,99,3,3,3.0,148.5,297
743947,6950000000000.0,NGS07-S9       ,BASEUS ENCOK SILVER/RED SPORTS WIRELESS IN-EAR EARPHONES S07                                                  ,BASEUS                        ,49.5,99,4,4,4.0,198.0,396
743948,6950000000000.0,ACNXB-02       ,BASEUS WARM LITTLE WHITE FAN HEATER                                                                           ,BASEUS                        ,79.5,169,0,0,0.0,0.0,0
743953,6950000000000.0,WIAPIPH58-ASL01,BASEUS ORIGINAL LSR CASE BLACK FOR IPHONE XS                                                                  ,BASEUS                        ,34.5,69,17,17,17.0,586.5,1173
743955,6950000000000.0,WIAPIPH58-ASL03,BASEUS ORIGINAL LSR CASE LIGHT AQUA MARINE FOR IPHONE XS                                                      ,BASEUS                        ,34.5,69,13,13,13.0,448.5,897
743956,6950000000000.0,WIAPIPH58-ASL04,BASEUS ORIGINAL LSR CASE PINK FOR IPHONE XS                                                                   ,BASEUS                        ,34.5,69,15,15,15.0,517.5,1035
743958,6950000000000.0,WIAPIPH58-ASL09,BASEUS ORIGINAL LSR CASE RED FOR IPHONE XS                                                                    ,BASEUS                        ,34.5,69,32,32,32.0,1104.0,2208
743960,6950000000000.0,WIAPIPH65-ASL01,BASEUS ORIGINAL LSR CASE BLACK FOR IPHONE XS MAX                                                              ,BASEUS                        ,34.5,69,26,26,26.0,897.0,1794
743961,6950000000000.0,WIAPIPH65-ASL03,BASEUS ORIGINAL LSR CASE LIGHT AQUA MARINE FOR IPHONE XS MAX                                                  ,BASEUS                        ,34.5,69,14,14,14.0,483.0,966
743963,6950000000000.0,WIAPIPH65-ASL04,BASEUS ORIGINAL LSR CASE PINK FOR IPHONE XS MAX                                                               ,BASEUS                        ,34.5,69,18,18,18.0,621.0,1242
743965,6950000000000.0,WIAPIPH65-ASL09,BASEUS ORIGINAL LSR CASE RED FOR IPHONE XS MAX                                                                ,BASEUS                        ,34.5,69,19,19,19.0,655.5,1311
743966,6950000000000.0,CATKC-A01      ,BASEUS DOUBLE FAST CHARGING TYPE-C CABLE 1M BLACK                                                             ,BASEUS                        ,29.5,59,15,15,15.0,442.5,885
743968,6950000000000.0,SUCJG9-02      ,BASEUS G9 MOBILE GAME SCORING TOOL WHITE FOR SMARTPHONES/TABLET                                               ,BASEUS                        ,24.5,49,54,54,54.0,1323.0,2646
743975,6950000000000.0,SUCJG9-01      ,BASEUS G9 MOBILE GAME SCORING TOOL BLACK FOR SMARTPHONES/TABLET                                               ,BASEUS                        ,24.5,49,58,58,58.0,1421.0,2842
744168,6950000000000.0,CATKC-A09      ,BASEUS DOUBLE FAST CHARGING TYPE-C CABLE 1M RED                                                               ,BASEUS                        ,29.5,59,20,20,20.0,590.0,1180
