PERIODE DU 04/08/19 AU 10/08/19,,,,,,,VILL,,,LMK,,,MOQ,,,DFC,,,VQTR-WH,,,TTL SOLD QTY,TTL SOLD VALUE,SOH
Sku,UPC,Catalogue Nï,Title,Label,Cost Price,V.S.P.,301.Quantit,301.Sales Quantity,301.Sales Value,302.Quantit,302.Sales Quantity,302.Sales Value,306.Quantit,306.Sales Quantity,306.Sales Value,307.Quantit,307.Sales Quantity,307.Sales Value,390.Quantit,390.Sales Quantity,390.Sales Value,,,
671807,6953160000000.00,WXYDIW02-02    ,BASEUS DOTTER WHITE WIRELESS CHARGER FOR APPLE WATCH                                                          ,BASEUS                        ,54.5,109,2,1,109,4,1,109,7,0,0,5,2,218,0,0,0,4,436,18
671812,6953160000000.00,PPLG-01        ,BASEUS AMBLIGHT 30000MAH POWER BANK BLACK                                                                     ,BASEUS                        ,149.5,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
674011,6953160000000.00,SUDYZP-D19     ,BASEUS FULLY FOLDING SELFIE STICK BLACK/RED                                                                   ,BASEUS                        ,79.5,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
676636,6953160000000.00,SUDYZP-D1S     ,BASEUS FULLY FOLDING SELFIE STICK BLACK/SLIVER                                                                ,BASEUS                        ,79.5,159,0,2,318,1,3,477,2,2,318,1,2,318,0,0,0,9,1431,4
676638,6953160000000.00,SUDYZP-D1V     ,BASEUS FULLY FOLDING SELFIE STICK BLACK/GOLD                                                                  ,BASEUS                        ,79.5,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
676641,7447900000000.00,BDC-480 SILVER ,BRAVE MFI LIGHTNING CABLE 1M SILVER                                                                           ,BRAVE                         ,34.5,69,9,0,0,6,0,0,8,0,0,5,0,0,0,0,0,0,0,28
676642,7447900000000.00,BDC-480 BLACK  ,BRAVE MFI LIGHTNING CABLE 1M BLACK                                                                            ,BRAVE                         ,34.5,69,10,0,0,6,0,0,8,0,0,2,0,0,0,0,0,0,0,26
734836,6953160000000.00,WXZN-01        ,BASEUS CAR WIRELESS CHARGER SMART VEHICLE BRACKET                                                             ,BASEUS                        ,74.5,149,4,0,0,7,0,0,5,0,0,4,0,0,0,0,0,0,0,20
734837,6953160000000.00,ACHDCJ-01      ,BASEUS HOLDER RED-DOT MOBILE GAME SCORING TOOL BLACK                                                          ,BASEUS                        ,24.5,49,17,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,25
734838,6953160000000.00,ACHDCJ-02      ,BASEUS HOLDER RED-DOT MOBILE GAME SCORING TOOL TRANSPARENT                                                    ,BASEUS                        ,24.5,49,4,2,98,10,0,0,8,0,0,12,2,98,0,0,0,4,196,34
734867,6953160000000.00,NGW02-01       ,BASEUS ENCOK W02 TWS TRULY WIRELESS HEADSET BLACK                                                             ,BASEUS                        ,109.5,219,1,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,0,8
734868,6953160000000.00,NGW02-02       ,BASEUS ENCOK W02 TWS TRULY WIRELESS HEADSET WHITE                                                             ,BASEUS                        ,109.5,219,7,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,13
734881,6953160000000.00,WX2IN1-02      ,BASEUS SMART 2 IN 1 WIRELESS CHARGER WHITE                                                                    ,BASEUS                        ,89.5,179,0,0,0,9,0,0,5,1,179,0,0,0,0,0,0,1,179,14
734882,6953160000000.00,PPALL-AKU01    ,BASEUS MINI CU DIGITAL DISPLAY POWER BANK 10000MAH BLACK                                                      ,BASEUS                        ,69.5,139,10,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,17
734895,6953160000000.00,CCALL-RH01     ,BASEUS LOCOMOTIVE BLUETOOTH MP3 VEHICLE CHARGER BLACK                                                         ,BASEUS                        ,49.5,99,3,1,99,3,2,198,7,0,0,2,1,99,0,0,0,4,396,15
734899,6953160000000.00,ACCHZ-01       ,BASEUS ROTATION TYPE UNIVERSAL CHARGER BLACK                                                                  ,BASEUS                        ,54.5,109,3,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,18
734904,6953160000000.00,CAHUB-D0G      ,BASEUS CUBE TYPE-C TO USB3.0X3+USB2.0X2 HUB ADAPTER DARK GRAY                                                 ,BASEUS                        ,64.5,129,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,6
734907,6953160000000.00,SUGENT-ATR01   ,BASEUS CURVE MAGNET CAR MOUNT                                                                                 ,BASEUS                        ,24.5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734909,6953160000000.00,SUER-A01       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET BLACK                                                     ,BASEUS                        ,24.5,49,9,2,98,3,0,0,2,0,0,0,0,0,0,0,0,2,98,14
734911,6953160000000.00,SUER-A0S       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET ROSE SILVER                                               ,BASEUS                        ,24.5,49,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,8
734916,6953160000000.00,SUHS-DP01      ,BASEUS DOUBLE CLIP HORIZONTAL VEHICLE MOUNT BLACK                                                             ,BASEUS                        ,29.5,59,3,0,0,6,0,0,3,0,0,4,0,0,0,0,0,0,0,16
734920,6953160000000.00,SUYZD-01       ,BASEUS BULLET ON-BOARD CAR MAGNETIC BRACKET BLACK                                                             ,BASEUS                        ,34.5,69,10,0,0,5,1,69,4,0,0,0,0,0,0,0,0,1,69,19
734921,6953160000000.00,SUYZD-09       ,BASEUS BULLET ON-BOARD CAR MAGNETIC BRACKET RED                                                               ,BASEUS                        ,34.5,69,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7
734922,6953160000000.00,SUYZD-0S       ,BASEUS BULLET ON-BOARD CAR MAGNETIC BRACKET SILVER                                                            ,BASEUS                        ,34.5,69,16,2,138,7,0,0,3,0,0,3,0,0,0,0,0,2,138,29
734927,6953160000000.00,SUER-B01       ,BASEUS SMALL EARS VERTICAL MAGNETIC BRACKET BLACK                                                             ,BASEUS                        ,24.5,49,0,0,0,3,1,49,3,0,0,1,0,0,0,0,0,1,49,7
734928,6953160000000.00,SUER-B0S       ,BASEUS SMALL EARS VERTICAL MAGNETIC BRACKET ROSE SILVER                                                       ,BASEUS                        ,24.5,49,1,3,147,4,0,0,5,0,0,3,0,0,0,0,0,3,147,13
734941,6953160000000.00,WXXP-01        ,BASEUS WIRELESS CHARGER SUCTION CUP BLACK                                                                     ,BASEUS                        ,44.5,89,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
734942,6953160000000.00,TZARGS-09      ,BASEUS CASE FOR AIRPODS RED                                                                                   ,BASEUS                        ,24.5,49,4,0,0,5,0,0,1,0,0,4,0,0,0,0,0,0,0,14
734943,6953160000000.00,TZARGS-01      ,BASEUS CASE FOR AIRPODS BLACK                                                                                 ,BASEUS                        ,24.5,49,21,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,25
734944,6953160000000.00,TZARGS-G2      ,BASEUS CASE FOR AIRPODS GRAY                                                                                  ,BASEUS                        ,24.5,49,12,0,0,7,0,0,2,0,0,6,0,0,0,0,0,0,0,27
734948,6953160000000.00,ACSR-MS01      ,BASEUS MAGIC MONSTER GAMEPAD STYLE POWER BANK 2000MAH                                                         ,BASEUS                        ,54.5,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
738078,6953160000000.00,ACSLCJ-06      ,BASEUS GRENADE BLACK/ARMY GREEN GRIP FOR SMARTPHONES                                                          ,BASEUS                        ,24.5,49,15,1,49,3,1,49,5,1,49,2,0,0,0,0,0,3,147,25
739727,6953160000000.00,WIAPPOD-01     ,BASEUS PROTECTIVE CASE/WIRELESS CHARGER BLACK FOR AIRPODS                                                     ,BASEUS                        ,49.5,99,2,0,0,5,0,0,4,0,0,1,1,99,0,0,0,1,99,12
739728,6953160000000.00,WIAPPOD-09     ,BASEUS PROTECTIVE CASE/WIRELESS CHARGER RED FOR AIRPODS                                                       ,BASEUS                        ,49.5,99,5,1,99,0,0,0,1,0,0,2,0,0,3,0,0,1,99,11
742248,6953160000000.00,ACSLCJ-01      ,BASEUS GRENADE BLACK GRIP FOR SMARTPHONES                                                                     ,BASEUS                        ,24.5,49,12,0,0,0,0,0,7,0,0,3,3,147,0,0,0,3,147,22
742249,6953160000000.00,SUCJLF-01      ,BASEUS WINNER COOLING HEAT SINK BLACK FOR SMARTPHONES                                                         ,BASEUS                        ,49.5,99,7,0,0,7,1,99,3,0,0,2,0,0,0,0,0,1,99,19
742292,6953160000000.00,SGAPIPD-CX02   ,BASEUS 0.3MM TEMPERED GLASS FILM TRANSPARENT FOR IPAD PRO 11-INCH                                             ,BASEUS                        ,39.5,79,4,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,21
742293,6953160000000.00,SGAPIPD-DX02   ,BASEUS 0.3MM ANTI-BLUE LIGHT TEMPERED GLASS FILM TRANSPARENT FOR IPAD PRO 11-INCH                             ,BASEUS                        ,49.5,99,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,14
742294,6953160000000.00,LTAPIPD-ASM03  ,BASEUS SIMPLISM Y-TYPE LEATHER CASE BLUE FOR IPAD PRO 11-INCH                                                 ,BASEUS                        ,79.5,159,7,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,20
742296,6953160000000.00,SUGENT-XF01    ,BASEUS SUSPENSION GLASS DESKTOP BRACKET BLACK FOR SMARTPHONES                                                 ,BASEUS                        ,39.5,79,5,1,79,14,0,0,3,0,0,0,0,0,0,0,0,1,79,22
742298,6953160000000.00,ACAPIPHX-BJ01  ,BASEUS PLAID BLACK 3500MAH POWER BANK FOR IPHONE X                                                            ,BASEUS                        ,94.5,189,0,0,0,5,0,0,0,0,0,2,1,189,0,0,0,1,189,7
742300,6953160000000.00,ACPCL-01       ,BASEUS GOLDEN CUDGEL CAPACITIVE STYLUS BLACK                                                                  ,BASEUS                        ,29.5,59,15,1,59,8,0,0,7,0,0,3,2,118,0,0,0,3,177,33
743939,6953160000000.00,NGH08-01       ,BASEUS H08 BLACK IMMERSIVE VIRTUAL 3D GAMING IN-EAR EARPHONES                                                 ,BASEUS                        ,144.5,289,1,0,0,1,0,0,3,0,0,2,0,0,0,0,0,0,0,7
743955,6953160000000.00,WIAPIPH58-ASL03,BASEUS ORIGINAL LSR CASE LIGHT AQUA MARINE FOR IPHONE XS                                                      ,BASEUS                        ,34.5,69,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
743956,6953160000000.00,WIAPIPH58-ASL04,BASEUS ORIGINAL LSR CASE PINK FOR IPHONE XS                                                                   ,BASEUS                        ,34.5,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
743968,6953160000000.00,SUCJG9-02      ,BASEUS G9 MOBILE GAME SCORING TOOL WHITE FOR SMARTPHONES/TABLET                                               ,BASEUS                        ,24.5,49,13,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,23
743975,6953160000000.00,SUCJG9-01      ,BASEUS G9 MOBILE GAME SCORING TOOL BLACK FOR SMARTPHONES/TABLET                                               ,BASEUS                        ,24.5,49,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,13
748127,4716080000000.00,PH18502-BK     ,BONE COLLECTION RUN TIE BLACK LARGE FOR SMARTPHONES 4-6.5 INCH                                                ,BONE COLLECTION               ,49.5,99,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,5
748129,4716080000000.00,DR18041-32BK   ,BONE COLLECTION MARU PENGUIN 32GB USB 3.0                                                                     ,BONE COLLECTION               ,58,89,8,0,0,6,0,0,5,0,0,6,0,0,0,0,0,0,0,25
748131,4716080000000.00,DR18043-32BR   ,BONE COLLECTION MR. DEER 32GB USB 3.0                                                                         ,BONE COLLECTION               ,58,89,7,0,0,6,0,0,6,0,0,6,0,0,0,0,0,0,0,25
758117,7447900000000.00,BAC-105        ,BRAVE LIGHTNING TO 3.5MM AUDIO CABLE WHITE                                                                    ,BRAVE                         ,49.5,99,3,1,99,3,2,198,6,0,0,3,0,0,0,0,0,3,297,15
758119,744790000000.00,BTC-320BK      ,BRAVE 2-PORT USB WALL CHARGER BLACK                                                                           ,BRAVE                         ,49.5,99,0,0,0,7,0,0,6,0,0,14,0,0,0,0,0,0,0,27
758121,6953160000000.00,SUWNT-01       ,BASEUS FOLDING UNIVERSAL STICKER BLACK                                                                        ,BASEUS                        ,34.5,69,5,0,0,1,2,138,5,0,0,3,1,69,0,0,0,3,207,14
758124,6953160000000.00,SUWNT-02       ,BASEUS FOLDING UNIVERSAL STICKER TRANSPARENT                                                                  ,BASEUS                        ,34.5,69,12,0,0,5,0,0,4,0,0,5,0,0,0,0,0,0,0,26
758125,6953160000000.00,WXYL-A01       ,BASEUS OSCULUM WIRELESS GRAVITY CAR CHARGER                                                                   ,BASEUS                        ,79.5,159,4,0,0,4,0,0,4,0,0,2,2,318,0,0,0,2,318,14
758126,6953160000000.00,CATL45-01      ,BASEUS AUDIO CONVERTER CATL45                                                                                 ,BASEUS                        ,34.5,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
758127,6953160000000.00,CATL41-01      ,BASEUS TYPE-C TO 3.5MM AUDIO CHARGING ADAPTER BLACK                                                           ,BASEUS                        ,34.5,69,9,0,0,3,2,138,0,0,0,0,0,0,0,0,0,2,138,12
758128,6953160000000.00,WXZN-B01       ,BASEUS SMART VEHICLE BRACKET WIRELESS CHARGER WITH INFRARED SENSOR BLACK                                      ,BASEUS                        ,104.5,209,3,0,0,3,2,418,0,0,0,4,0,0,0,0,0,2,418,10
758226,6953160000000.00,ACJHQ-01       ,BASEUS MICROMOLECULE FORMALDEHYDE PURIFIER DEEP SPACE BLACK                                                   ,BASEUS                        ,54.5,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
758227,6953160000000.00,ACJHQ-0S       ,BASEUS MICROMOLECULE FORMALDEHYDE PURIFIER SILVER                                                             ,BASEUS                        ,54.5,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
758228,6953160000000.00,SUHZ-01        ,BASEUS BACK SEAT CAR MOUNT BLACK                                                                              ,BASEUS                        ,39.5,79,5,0,0,3,0,0,3,1,79,3,1,79,0,0,0,2,158,14
758229,6953160000000.00,SUHZ-2S        ,BASEUS BACK SEAT CAR MOUNT SILVER                                                                             ,BASEUS                        ,39.5,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
758230,6971680000000.00,RPH0890        ,ROCK SHOOTING GAME CONTROLLER WITH HANDLE BLACK                                                               ,ROCK                          ,39.5,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
758231,7447900000000.00,BHL-715        ,BRAVE 2-IN-1 UNIVERSAL MAGNETIC HOLDER                                                                        ,BRAVEN                        ,34.5,69,0,0,0,1,0,0,15,0,0,2,3,207,0,0,0,3,207,18
758233,6953160000000.00,SGAPIPH58-WA01 ,BASEUS FULL-SCREEN CURVED TEMPERED GLASS SCREEN PROTECTOR BLACK FOR IPHONE XS/X                               ,BASEUS                        ,45,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
758235,6953160000000.00,SGAPIPH58-WC01 ,BASEUS FULL-SCREEN CURVED PRIVACY TEMPERED GLASS SCREEN PROTECTOR BLACK FOR IPHONE XS/X                       ,BASEUS                        ,50,99,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
758236,6953160000000.00,SGAPIPH65-WC01 ,BASEUS FULL-SCREEN CURVED PRIVACY TEMPERED GLASS SCREEN PROTECTOR BLACK FOR IPHONE XS MAX                     ,BASEUS                        ,50,99,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
758241,6953160000000.00,CAHUB-T01      ,BASEUS MATE DOCKING TYPE-C HUB DOCKING STATION BLACK                                                          ,BASEUS                        ,120,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
758244,6953160000000.00,CABA01-01      ,BASEUS BA01 USB WIRELESS ADAPTER CABLE BLACK                                                                  ,BASEUS                        ,50,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
758245,6953160000000.00,CABA01-09      ,BASEUS BA01 USB WIRELESS ADAPTER CABLE RED                                                                    ,BASEUS                        ,50,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762676,6953160000000.00,CATXF-0G       ,BASEUS 7-IN-1 SQUARE DESK TYPE-C MULTI-FUNCTIONAL HUB TYPE-C                                                  ,BASEUS                        ,135,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762677,6953160000000.00,SULR-0G        ,BASEUS UNLIMITED ADJUSTMENT LAZY PHONE HOLDER GREY                                                            ,BASEUS                        ,50,99,13,3,297,1,0,0,4,0,0,0,1,99,0,0,0,4,396,18
762678,6953160000000.00,CATYW-B03      ,BASEUS ARTISTIC STRIPED TYPE-C 3A CABLE 5M BLUE                                                               ,BASEUS                        ,45,89,0,0,0,4,0,0,5,0,0,12,0,0,0,0,0,0,0,21
762679,6953160000000.00,CATYW-B01      ,BASEUS ARTISTIC STRIPED TYPE-C 3A CABLE 5M BLACK                                                              ,BASEUS                        ,45,89,0,0,0,5,0,0,5,0,0,14,0,0,0,0,0,0,0,24
762680,6953160000000.00,CATYW-B09      ,BASEUS ARTISTIC STRIPED TYPE-C 3A CABLE 5M RED                                                                ,BASEUS                        ,45,89,0,0,0,6,0,0,6,0,0,12,0,0,0,0,0,0,0,24
762681,6953160000000.00,CATSR-01       ,BASEUS FISH-EYE SPRING TYPE-C 2A CABLE 1M BLACK                                                               ,BASEUS                        ,35,69,0,0,0,4,0,0,5,0,0,3,1,69,0,0,0,1,69,12
762682,6953160000000.00,CATSR-09       ,BASEUS FISH-EYE SPRING TYPE-C 2A CABLE 1M RED                                                                 ,BASEUS                        ,35,69,0,0,0,5,0,0,6,0,0,12,1,69,0,0,0,1,69,23
762683,7447900000000.00,BCC-36W        ,BRAVE 2-PORT TYPE-C & QUICK CHARGE CAR CHARGER                                                                ,BASEUS                        ,50,99,0,0,0,5,0,0,6,0,0,14,0,0,0,0,0,0,0,25
766138,6953160000000.00,WX3IN1-01      ,BASEUS SMART 3-IN-1 WIRELESS CHARGER 18W BLACK                                                                ,BASEUS                        ,100,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766139,6953160000000.00,WX3IN1-02      ,BASEUS SMART 3-IN-1 WIRELESS CHARGER 18W WHITE                                                                ,BASEUS                        ,100,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766140,6953160000000.00,CA1T4-I0G      ,BASEUS STAR RING SERIES 4-IN-1 CABLE 1.2M DEEP GREY                                                           ,BASEUS                        ,69.5,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766141,6953160000000.00,WIAPIPH58-QA01 ,BASEUS TRANSPARENT KEY PHONE CASE BLACK FOR IPHONE XS                                                         ,BASEUS                        ,34.5,69,6,0,0,6,0,0,6,0,0,6,0,0,0,0,0,0,0,24
766142,6953160000000.00,WIAPIPH58-QA02 ,BASEUS TRANSPARENT KEY PHONE CASE TRANSPARENT FOR IPHONE XS                                                   ,BASEUS                        ,34.5,69,6,0,0,6,0,0,6,0,0,3,2,138,0,0,0,2,138,21
,,,,,,,494,25,2175,303,22,2548,326,9,1321,284,30,2970,62,0,0,86,9014,1469
