Sku,UPC,Catalogue N,Title,Label,Cost Price,V.S.P.,301.Quantit,301.Sales Quantity,301.Sales Value,302.Quantit,302.Sales Quantity,302.Sales Value,306.Quantit,306.Sales Quantity,306.Sales Value,307.Quantit,307.Sales Quantity,307.Sales Value,Arq COST
734943,6953156281363.0,TZARGS-01      ,BASEUS CASE FOR AIRPODS BLACK                                                                                 ,BASEUS                        ,24.5,49,9,1,49,5,1,49,5,1,49,4,2,98,7.610000000000008
734944,6953156281387.0,TZARGS-G2      ,BASEUS CASE FOR AIRPODS GRAY                                                                                  ,BASEUS                        ,24.5,49,10,0,0,6,0,0,6,0,0,4,2,98,7.610000000000008
734948,6953156276673.0,ACSR-MS01      ,BASEUS MAGIC MONSTER GAMEPAD STYLE POWER BANK 2000MAH                                                         ,BASEUS                        ,54.5,109,0,0,0,0,0,0,0,0,0,0,0,0,24.140000000000008
738078,6953156284647.0,ACSLCJ-06      ,BASEUS GRENADE BLACK/ARMY GREEN GRIP FOR SMARTPHONES                                                          ,BASEUS                        ,24.5,49,27,1,49,19,1,49,19,1,49,20,0,0,9.509999999999998
739727,6953156282940.0,WIAPPOD-01     ,BASEUS PROTECTIVE CASE/WIRELESS CHARGER BLACK FOR AIRPODS                                                     ,BASEUS                        ,49.5,99,20,0,0,15,0,0,14,1,99,13,2,198,17.33
739728,6953156282957.0,WIAPPOD-09     ,BASEUS PROTECTIVE CASE/WIRELESS CHARGER RED FOR AIRPODS                                                       ,BASEUS                        ,49.5,99,10,0,0,5,1,99,6,0,0,5,1,99,17.33
742248,6953156284630.0,ACSLCJ-01      ,BASEUS GRENADE BLACK GRIP FOR SMARTPHONES                                                                     ,BASEUS                        ,24.5,49,18,2,98,11,4,196,15,0,0,15,0,0,9.313366214549943
742249,6953156286603.0,SUCJLF-01      ,BASEUS WINNER COOLING HEAT SINK BLACK FOR SMARTPHONES                                                         ,BASEUS                        ,49.5,99,5,1,99,3,1,99,4,0,0,4,0,0,21.039999999999992
742292,6953156279650.0,SGAPIPD-CX02   ,BASEUS 0.3MM TEMPERED GLASS FILM TRANSPARENT FOR IPAD PRO 11-INCH                                             ,BASEUS                        ,39.5,79,10,0,0,6,0,0,5,1,79,2,4,316,14.434906542056074
742293,6953156279667.0,SGAPIPD-DX02   ,BASEUS 0.3MM ANTI-BLUE LIGHT TEMPERED GLASS FILM TRANSPARENT FOR IPAD PRO 11-INCH                             ,BASEUS                        ,49.5,99,6,0,0,4,0,0,3,1,99,4,0,0,16.32
742294,6953156282100.0,LTAPIPD-ASM03  ,BASEUS SIMPLISM Y-TYPE LEATHER CASE BLUE FOR IPAD PRO 11-INCH                                                 ,BASEUS                        ,79.5,159,10,0,0,5,1,159,6,0,0,5,1,159,38.140000000000015
742296,6953156279148.0,SUGENT-XF01    ,BASEUS SUSPENSION GLASS DESKTOP BRACKET BLACK FOR SMARTPHONES                                                 ,BASEUS                        ,39.5,79,6,0,0,4,0,0,4,0,0,4,0,0,17.77073170731708
742298,6953156270640.0,ACAPIPHX-BJ01  ,BASEUS PLAID BLACK 3500MAH POWER BANK FOR IPHONE X                                                            ,BASEUS                        ,94.5,189,4,2,378,1,3,567,1,3,567,3,1,189,46.776027397260265
742300,6953156284401.0,ACPCL-01       ,BASEUS GOLDEN CUDGEL CAPACITIVE STYLUS BLACK                                                                  ,BASEUS                        ,29.5,59,10,0,0,4,2,118,1,5,295,5,1,59,14.474971098265899
743939,6953156282247.0,NGH08-01       ,BASEUS H08 BLACK IMMERSIVE VIRTUAL 3D GAMING IN-EAR EARPHONES                                                 ,BASEUS                        ,144.5,289,6,0,0,4,0,0,2,2,578,4,0,0,76.0
743955,6953156284821.0,WIAPIPH58-ASL03,BASEUS ORIGINAL LSR CASE LIGHT AQUA MARINE FOR IPHONE XS                                                      ,BASEUS                        ,34.5,69,6,0,0,3,1,69,4,0,0,0,0,0,12.379999999999997
743956,6953156284838.0,WIAPIPH58-ASL04,BASEUS ORIGINAL LSR CASE PINK FOR IPHONE XS                                                                   ,BASEUS                        ,34.5,69,5,1,69,4,0,0,2,2,138,0,0,0,12.679999999999998
743968,6953156279025.0,SUCJG9-02      ,BASEUS G9 MOBILE GAME SCORING TOOL WHITE FOR SMARTPHONES/TABLET                                               ,BASEUS                        ,24.5,49,20,0,0,13,2,98,14,1,49,14,1,49,5.259999999999999
743975,6953156279018.0,SUCJG9-01      ,BASEUS G9 MOBILE GAME SCORING TOOL BLACK FOR SMARTPHONES/TABLET                                               ,BASEUS                        ,24.5,49,9,1,49,3,1,49,6,0,0,5,1,49,5.259999999999998
