PERIODE DU 24/02/19 AU 02/03/19,,,,,,,VILLAGIO,,,LMK,,,MOQ,,,DHFC,,,TTL Sold Qty,TTL Sold Value,SOH
Sku,UPC,Catalogue Nâ,Title,Label,Cost Price,V.S.P.,301.Quantit,301.Sales Quantity,301.Sales Value,302.Quantit,302.Sales Quantity,302.Sales Value,306.Quantit,306.Sales Quantity,306.Sales Value,307.Quantit,307.Sales Quantity,307.Sales Value,,,
742248,6953156284630.00,ACSLCJ-01      ,BASEUS GRENADE BLACK GRIP FOR SMARTPHONES                                                                     ,BASEUS                        ,24.5,49,15,1,49,9,2,98,12,1,49,12,2,98,6,294,48
742249,6953156286603.00,SUCJLF-01      ,BASEUS WINNER COOLING HEAT SINK BLACK FOR SMARTPHONES                                                         ,BASEUS                        ,49.5,99,3,1,99,3,0,0,4,0,0,4,0,0,1,99,14
742292,6953156279650.00,SGAPIPD-CX02   ,BASEUS 0.3MM TEMPERED GLASS FILM TRANSPARENT FOR IPAD PRO 11-INCH                                             ,BASEUS                        ,39.5,79,8,2,158,5,0,0,5,0,0,2,0,0,2,158,20
742293,6953156279667.00,SGAPIPD-DX02   ,BASEUS 0.3MM ANTI-BLUE LIGHT TEMPERED GLASS FILM TRANSPARENT FOR IPAD PRO 11-INCH                             ,BASEUS                        ,49.5,99,6,0,0,4,0,0,3,0,0,4,0,0,0,0,17
742294,6953156282100.00,LTAPIPD-ASM03  ,BASEUS SIMPLISM Y-TYPE LEATHER CASE BLUE FOR IPAD PRO 11-INCH                                                 ,BASEUS                        ,79.5,159,9,0,0,5,0,0,6,0,0,4,0,0,0,0,24
742296,6953156279148.00,SUGENT-XF01    ,BASEUS SUSPENSION GLASS DESKTOP BRACKET BLACK FOR SMARTPHONES                                                 ,BASEUS                        ,39.5,79,5,1,79,3,0,0,3,1,79,3,1,79,3,237,14
742298,6953156270640.00,ACAPIPHX-BJ01  ,BASEUS PLAID BLACK 3500MAH POWER BANK FOR IPHONE X                                                            ,BASEUS                        ,94.5,189,1,3,567,0,0,0,0,0,0,1,1,189,4,756,2
742300,6953156284401.00,ACPCL-01       ,BASEUS GOLDEN CUDGEL CAPACITIVE STYLUS BLACK                                                                  ,BASEUS                        ,29.5,59,4,2,118,2,0,0,3,0,0,5,0,0,2,118,14
743939,6953156282247.00,NGH08-01       ,BASEUS H08 BLACK IMMERSIVE VIRTUAL 3D GAMING IN-EAR EARPHONES                                                 ,BASEUS                        ,144.5,289,6,0,0,4,0,0,2,0,0,3,0,0,0,0,15
743955,6953156284821.00,WIAPIPH58-ASL03,BASEUS ORIGINAL LSR CASE LIGHT AQUA MARINE FOR IPHONE XS                                                      ,BASEUS                        ,34.5,69,6,0,0,3,0,0,4,0,0,0,0,0,0,0,13
743956,6953156284838.00,WIAPIPH58-ASL04,BASEUS ORIGINAL LSR CASE PINK FOR IPHONE XS                                                                   ,BASEUS                        ,34.5,69,1,2,138,0,0,0,1,0,0,0,0,0,2,138,2
743968,6953156279025.00,SUCJG9-02      ,BASEUS G9 MOBILE GAME SCORING TOOL WHITE FOR SMARTPHONES/TABLET                                               ,BASEUS                        ,24.5,49,20,0,0,14,0,0,10,0,0,12,1,49,1,49,56
743975,6953156279018.00,SUCJG9-01      ,BASEUS G9 MOBILE GAME SCORING TOOL BLACK FOR SMARTPHONES/TABLET                                               ,BASEUS                        ,24.5,49,7,0,0,1,1,49,5,1,49,3,2,98,4,196,16
,,,,,,,264,31,2349,171,18,1202,188,16,934,150,35,2355,100,6840,773
